ext_gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10FDR
Sox17,1.4083582576722122,-0.4726913659001637,0.029726209946829157,-15.90150129282071,6.186424567922583e-57,4.413822102094378e-56,55.355185174943216
Mrpl15,1.6733532583440958,0.49782096066651915,0.01948377627387926,25.550537722706153,5.415627449233087e-144,7.00180244226571e-143,142.15479014713344
Lypla1,1.4031378837581208,0.08267478059424836,0.02391594951953971,3.4568889069907827,5.464500739154958e-4,0.0011867016352277821,2.925658459193941
Tcea1,1.5457805058865317,0.2520647654444464,0.021717038614181526,11.606774290111757,3.807081563603224e-31,1.976836498787767e-30,29.704029249052866
Atp6v1h,1.4893378048195902,-0.1478304214286774,0.02482553511400664,-5.954772807506213,2.604333627636772e-9,7.787089746310479e-9,8.108624820025463
Rb1cc1,1.3372325673695558,0.18341600782089876,0.023806983254160766,7.704294402309163,1.3156821529556962e-14,4.780344284338905e-14,13.320540824014627
Rrs1,1.257590232432937,0.4339990573966467,0.022899328723298588,18.952479465264005,4.212589343924605e-80,3.688144511214847e-79,78.43319207048349
Sgk3,1.262374704858818,-0.24129397268530992,0.027741734420975807,-8.697869030959545,3.3817451528870172e-18,1.3602725791153841e-17,16.866374056523817
Snhg6,1.7458269531629484,0.7865412704919768,0.01773842179409,44.34110766009819,0,0,Inf
Cops5,1.7218113905795203,0.5496018617875716,0.018938242192288096,29.02074311898793,3.6020046961085345e-185,5.703561414504761e-184,183.24385387771855
Cspp1,1.1888111789125904,0.13484573636635136,0.025607454608837454,5.265878175951717,1.3952078644740242e-7,3.8367564915489225e-7,6.416035763411144
Arfgef1,1.2630691109043366,0.12201129520111503,0.024929158405515912,4.894320667243961,9.864588155725136e-7,2.5968166818235317e-6,5.585558707622342
Prex2,1.2773646298503218,-0.29168782318492603,0.028004686526584825,-10.415678922455605,2.102917365408828e-25,9.787471909927434e-25,24.009329471358626
Sulf1,1.3389072525194607,0.1884303023617032,0.02376091243971042,7.930263740494624,2.1868096393207215e-15,8.144400290499985e-15,14.0891408892702
Tram1,2.334653620902526,-0.3054765324193295,0.02227443878652913,-13.7142190358606,8.346018332666476e-43,5.118844896578364e-42,41.29082802957862
Eya1,1.0555842260601602,0.15826125149802922,0.027010011197323432,5.859355271711705,4.646676493727412e-9,1.3701833809897852e-8,7.863221304360207
Msc,1.2695169792363565,1.1694953975110716,0.018925750890004308,61.79387038898119,0,0,Inf
